full_name,type,state,party,marker
Benjamin Taliaferro,House,GA,Republican,GA
Thomas Tillinghast,House,RI,Republican,RI
Uriah Tracy,Senate,CT,Federalist,CT
George Upham,House,NH,Federalist,NH
John Van Ness,House,NY,Republican,NY6
Benjamin Walker,House,NY,Federalist,NY9
Robert Williams,House,NC,Republican,NC3
Henry Woods,House,PA,Federalist,PA1
Pierce Butler,Senate,SC,Republican,SC
De Clinton,Senate,NY,Republican,NY
William Plumer,Senate,NH,Federalist,NH
Theodorus Bailey,Senate,NY,Republican,NY
Simeon Baldwin,House,CT,Federalist,CT
Walter Bowie,House,MD,Republican,MD2
Phineas Bruce,House,MA,Federalist,MA17
Thomas Claiborne,House,VA,Republican,VA17
Manasseh Cutler,House,MA,Federalist,MA3
John Dennis,House,MD,Federalist,MD8
Thomas Dwight,House,MA,Federalist,MA5
John Earle,House,SC,Republican,SC8
James Gillespie,House,NC,Republican,NC5
Thomas Griffin,House,VA,Federalist,VA12
Gaylord Griswold,House,NY,Federalist,NY15
Samuel Hammond,House,GA,Republican,GA
Wade Hampton,House,SC,Republican,SC4
Daniel Hiester,House,MD,Republican,MD4
John Hoge,House,PA,Republican,PA1
Samuel Hunt,House,NH,Federalist,NH
Simon Larned,House,MA,Republican,MA12
Thomas Lewis,House,VA,Federalist,VA5
Thomas Lowndes,House,SC,Federalist,SC1
Samuel Maclay,Senate,PA,Republican,PA
Andrew McCord,House,NY,Republican,NY5
Nahum Mitchell,House,MA,Federalist,MA7
James Mott,House,NJ,Republican,NJ
Beriah Palmer,House,NY,Republican,NY11
John Paterson,House,NY,Republican,NY16
Oliver Phelps,House,NY,Republican,NY17
Thomas Plater,House,MD,Federalist,MD3
Samuel Potter,Senate,RI,Republican,RI
Samuel Purviance,House,NC,Federalist,NC7
Thomson Skinner,House,MA,Republican,MA12
Israel Smith,Senate,VT,Republican,VT
John Smith,Senate,OH,Republican,OH
John Stewart,House,PA,Republican,PA6
Samuel Thatcher,House,MA,Federalist,MA16
George Tibbits,House,NY,Federalist,NY1
John Trigg,House,VA,Republican,VA13
Isaac Van Horne,House,PA,Republican,PA2
Abraham Venable,Senate,VA,Republican,VA
Samuel White,Senate,DE,Federalist,DE
Lemuel Williams,House,MA,Federalist,MA8
John Armstrong,Senate,NY,Republican,NY
Benjamin Howland,Senate,RI,Republican,RI
Andrew Moore,Senate,VA,Republican,VA
Nathaniel Alexander,House,NC,Republican,NC1
Isaac Anderson,House,PA,Republican,PA3
John Archer,House,MD,Republican,MD6
Abraham Baldwin,Senate,GA,Republican,GA
George Bedinger,House,KY,Republican,KY6
Silas Betton,House,NH,Federalist,NH
Phanuel Bishop,House,MA,Republican,MA9
Joseph Bryan,House,GA,Republican,GA
Levi Casey,House,SC,Republican,SC6
Christopher Clark,House,VA,Republican,VA13
Frederick Conrad,House,PA,Republican,PA2
Leonard Covington,House,MD,Republican,MD2
William Dickson,House,TN,Republican,TN3
Theodore Dwight,House,CT,Federalist,CT
Peter Early,House,GA,Republican,GA
Caleb Ellis,House,NH,Federalist,NH
Ebenezer Elmer,House,NJ,Republican,NJ
James Fenner,Senate,RI,Republican,RI
John Fowler,House,KY,Republican,KY5
Calvin Goddard,House,CT,Federalist,CT
Roger Griswold,House,CT,Federalist,CT
Silas Halsey,House,NY,Republican,NY17
John Hamilton,House,PA,Republican,PA1
John Hanna,House,PA,Republican,PA
Seth Hastings,House,MA,Federalist,MA1
David Hough,House,NH,Federalist,NH
Aaron Kitchell,Senate,NJ,Republican,NJ
Henry Livingston,House,NY,Federalist,NY8
Christian Lower,House,PA,Republican,PA3
John Lucas,House,PA,Republican,PA
Patrick Magruder,House,MD,Republican,MD3
Duncan McFarlan,House,NC,Republican,NC7
Cowles Mead,House,GA,Republican,GA
David Meriwether,House,GA,Republican,GA
Joseph Nicholson,House,MD,Republican,MD7
Gideon Olin,House,VT,Republican,VT1
Thomas Randolph,House,VA,Republican,VA21
Peter Sailly,House,NY,Republican,NY11
Thomas Sandford,House,KY,Republican,KY4
Martin Schuneman,House,NY,Republican,NY7
Daniel Smith,Senate,TN,Republican,TN
John Smith,House,CT,Federalist,CT
O’Brien Smith,House,SC,Republican,SC4
Thomas Spalding,House,GA,Republican,GA
Joseph Stanton,House,RI,Republican,RI
Thomas Sumter,Senate,SC,Republican,SC
Samuel Tenney,House,NH,Federalist,NH
Philip Thompson,House,VA,Republican,VA9
Buckner Thruston,Senate,KY,Republican,KY
Peleg Wadsworth,House,MA,Federalist,MA15
Matthew Walton,House,KY,Republican,KY3
John Whitehill,House,PA,Republican,PA3
Eliphalet Wickes,House,NY,Republican,NY1
Nathan Williams,House,NY,Republican,NY15
Joseph Winston,House,NC,Republican,NC12
